"ID","ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历,城市"
"1664","1664,男,机械工程,本科,自由职业,建筑,4000.0,深圳,1,是,"
"1665","1665,男,金融学,博士,,医疗,,上海,1,是,"
"1666","1666,女,电子信息,博士,公务员,制造业,12000.0,青岛,4,否,"
"1667","1667,女,汉语言文学,博士,出国,医疗,7000.0,北京,2,是,"
"1668","1668,男,土木工程,博士,考研,建筑,12000.0,西安,5,否,上海 "
"1669","1669,女,电子信息,硕士,就业,银行,-5920,西安,5,否,"
"1670","1670,男,市场营销,本科,公务员,建筑,13000.0,南京,3,否,"
"1671","1671,男,环境工程,本科,,教育,8500.0,西安,4,否,"
"1672","1672,男,,,出国,建筑,1802871,成都,3,否,"
"1673","1673,男,,硕士,自由职业,文化传媒,14500.0,成都,5,是,"
"1674","1674,女,市场营销,,公务员,银行,11000.0,西安,5,是,"
"1675","1675,男,环境工程,本科,就业,政府机关,7000.0,广州,4,是,"
"1676","1676,女,汉语言文学,本科,就业,银行,,成都,4,是,"
"1677","1677,女,汉语言文学,本科,创业,医疗,4500.0,上海,3,是,上海 "
"1678","1678,男,土木工程,硕士,公务员,政府机关,8500.0,南京,1,是,"
"1679","1679,男,汉语言文学,本科,公务员,医疗,11500.0,深圳,5,否,"
"1680","1680,男,计算机,本科,公务员,文化传媒,7000.0,北京,1,否,"
"1681","1681,男,机械工程,,出国,建筑,7000.0,北京,4.575414412905472,是,"
"1682","1682,男,计算机,博士,创业,制造业,9000.0,成都,4,是,"
"1683","1683,男,法学,本科,,建筑,7500.0,成都,1,是,"
"1684","1684,男,汉语言文学,本科,创业,政府机关,13500.0,西安,4,否,"
"1685","1685,女,临床医学,硕士,公务员,互联网,8500.0,西安,3,否,"
"1686","1686,其他1,金融学,本科,考研,教育,,北京,5,否,"
"1687","1687,男,金融学,硕士,就业,银行,9000.0,深圳,3,否,"
"1688","1688,其他1,金融学,,就业,医疗,11500.0,北京,3,否,上海 "
"1689","1689,男,汉语言文学,本科,考研,建筑,,杭州,4,否,"
"1690","1690, 女,,博士,出国,医疗,11500.0,武汉,1,是,上海 "
"1691","1691,男,环境工程,硕士,创业,政府机关,4000.0,杭州,5,是,"
"1692","1692,男,金融学,硕士,自由职业,建筑,5000.0,北京,2,否,"
"1693","1693,男,机械工程,博士,公务员,银行,11500.0,南京,5,是,上海 "
"1694","1694,女,机械工程,本科,,银行,15000.0,南京,1,否,"
"1695","1695,女,汉语言文学,本科,公务员,建筑,21902.325488306957,深圳,3.7649497994692087,否,"
"1696","1696,女,电子信息,硕士,就业,文化传媒,13500.0,北京,2,是,"
"1697","1697,女,计算机,本科,,制造业,10500.0,青岛,5,是,"
"1698","1698,女,土木工程,本科,创业,政府机关,13500.0,西安,3,否,"
"1699","1699,女,临床医学,本科,考研,银行,14000.0,青岛,3,是,"
"1700","1700,男,汉语言文学,硕士,,制造业,未知,南京,1,是,"
"1701","1701,男,电子信息,博士,出国,银行,10500.0,北京,5,否,"
"1702","1702,女,市场营销,博士,出国,政府机关,5000.0,西安,1.2008535379457244,否,"
"1703","1703,男,计算机,硕士,自由职业,互联网,10500.0,西安,4,是,"
"1704","1704,女,汉语言文学,硕士,出国,银行,13000.0,深圳,2.2816011230155384,是,"
"1705","1705,女,电子信息,硕士,创业,互联网,7500.0,深圳,4,是,"
"1706","1706,其他1,计算机,本科,出国,政府机关,8000.0,西安,4,是,"
"1707","1707,女,机械工程,硕士,考研,医疗,14000.0,武汉,2,否,"
"1708","1708,女,市场营销,本科,出国,互联网,1675399,杭州,4,是,"
"1709","1709, 女,环境工程,,出国,互联网,12000.0,北京,4,否,"
"1710","1710,男,环境工程,本科,就业,银行,4500.0,上海,5,否,"
"1711","1711,男,机械工程,硕士,就业,教育,14000.0,上海,1,否,"
"1712","1712,男,电子信息,本科,就业,政府机关,14000.0,上海,3.181024210348535,是,"
"1713","1713,女,汉语言文学,本科,自由职业,制造业,12500.0,深圳,4,是,"
"1714","1714,女,机械工程,本科,自由职业,政府机关,,广州,2,否,"
"1715","1715,女,环境工程,本科,就业,互联网,7000.0,成都,2,否,"
"1716","1716,男,金融学,博士,就业,建筑,11000.0,南京,2,是,"
"1717","1717,男,临床医学,本科,创业,教育,13500.0,北京,4,是,"
"1718","1718,男,市场营销,博士,创业,互联网,14000.0,青岛,2,否,"
"1719","1719,男,土木工程,博士,出国,政府机关,未知,北京,5,是,"
"1720","1720,女,汉语言文学,硕士,考研,教育,-7205,上海,3.282196870234049,否,"
"1721","1721,男,法学,本科,出国,银行,10000.0,深圳,5,是,"
"1722","1722,男,电子信息,,出国,教育,-4734,上海,4,否,"
"1723","1723,男,土木工程,硕士,创业,建筑,21082.76513617475,南京,4,否,"
"1724","1724,男,汉语言文学,本科,,医疗,13500.0,北京,5,否,"
"1725","1725,女,市场营销,,公务员,教育,未知,西安,4,否,"
"1726","1726,女,汉语言文学,,创业,教育,5500.0,北京,1,是,"
"1727","1727,男,,博士,考研,政府机关,13500.0,成都,差,否,"
"1728","1728,其他1,计算机,博士,自由职业,政府机关,11500.0,成都,2,是,"
"1729","1729,男,金融学,博士,出国,医疗,5500.0,杭州,1,是,"
"1730","1730,女,临床医学,,,医疗,5500.0,武汉,2,否,"
"1731","1731,男,电子信息,博士,出国,文化传媒,8500.0,广州,3,否,"
"1732","1732,男,市场营销,本科,就业,医疗,9000.0,上海,5,是,"
"1733","1733,女,市场营销,本科,就业,政府机关,4500.0,广州,2.443282944330182,否,"
"1734","1734, 女,计算机,本科,就业,文化传媒,,杭州,2.8374013322432434,否,"
"1735","1735,男,,硕士,考研,医疗,5500.0,青岛,5,否,"
"1736","1736,女,电子信息,本科,就业,教育,14500.0,青岛,5,是,"
"1737","1737,女,法学,硕士,创业,文化传媒,1915403,成都,2,是,"
"1738","1738,其他1,电子信息,博士,创业,建筑,8500.0,广州,4,是,"
"1739","1739,男,法学,硕士,就业,医疗,14500.0,北京,差,是,"
"1740","1740,女,金融学,本科,创业,建筑,9000.0,武汉,2.9013450286502906,否,上海 "
"1741","1741,男,,博士,公务员,政府机关,7000.0,西安,1,是,"
"1742","1742,男,法学,本科,就业,教育,-6680,武汉,1,否,"
"1743","1743,其他1,环境工程,硕士,考研,制造业,5000.0,武汉,5,否,"
"1744","1744,女,临床医学,本科,公务员,政府机关,3487661,广州,1,否,上海 "
"1745","1745,男,临床医学,硕士,自由职业,教育,9000.0,深圳,5,否,"
"1746","1746,男,临床医学,博士,创业,医疗,11500.0,武汉,1,是,"
"1747","1747,女,法学,本科,公务员,互联网,44927.771088257876,杭州,3,是,"
"1748","1748,男,计算机,,自由职业,文化传媒,7000.0,广州,4,否,"
"1749","1749,男,机械工程,本科,出国,教育,,武汉,3.7032585587184697,是,"
"1750","1750,男,电子信息,本科,,建筑,10000.0,西安,3,否,"
"1751","1751, 女,,,出国,文化传媒,4000.0,上海,3,否,"
"1752","1752, 女,土木工程,博士,创业,文化传媒,7500.0,杭州,4,否,"
"1753","1753,女,计算机,硕士,出国,政府机关,4500.0,武汉,1,是,"
"1754","1754,女,电子信息,博士,出国,文化传媒,6000.0,北京,2,否,上海 "
"1755","1755,女,汉语言文学,,就业,银行,10000.0,广州,4.41440325831649,否,"
"1756","1756,男,市场营销,博士,考研,教育,6000.0,杭州,3,是,"
"1757","1757,女,,博士,公务员,政府机关,14500.0,南京,1,否,"
"1758","1758,女,法学,硕士,出国,互联网,,西安,1,否,"
"1759","1759,男,,硕士,公务员,制造业,,北京,2,是,"
"1760","1760,男,电子信息,硕士,出国,政府机关,15000.0,青岛,1,是,"
"1761","1761,男,汉语言文学,本科,公务员,银行,5000.0,杭州,3,否,"
"1762","1762,男,汉语言文学,硕士,创业,银行,15000.0,北京,1,否,"
"1763","1763,女,汉语言文学,博士,自由职业,银行,,北京,1,是,"
"1764","1764,男,,本科,公务员,政府机关,10000.0,深圳,4,是,"
"1765","1765,女,环境工程,博士,考研,银行,15000.0,青岛,2.9590906149849125,是,"
"1766","1766,男,临床医学,本科,自由职业,建筑,4000.0,杭州,5,否,"
"1767","1767,女,土木工程,本科,考研,医疗,15000.0,上海,1,否,"
"1768","1768,男,法学,硕士,自由职业,建筑,9000.0,武汉,1.5106065899823182,是,上海 "
"1769","1769,男,,本科,,银行,14853.761162295317,西安,5,是,上海 "
"1770","1770,男,,硕士,就业,建筑,8000.0,南京,4,否,"
"1771","1771,女,市场营销,硕士,自由职业,银行,13000.0,北京,4,是,"
"1772","1772,男,临床医学,博士,出国,互联网,20195.639367464257,南京,4,是,"
"1773","1773,女,机械工程,,自由职业,建筑,11000.0,西安,5,否,"
"1774","1774,女,电子信息,博士,自由职业,制造业,10000.0,武汉,1,否,"
"1775","1775,女,机械工程,硕士,考研,文化传媒,5000.0,杭州,3,否,"
"1776","1776,男,土木工程,本科,,银行,未知,杭州,1,是,"
"1777","1777,女,计算机,硕士,就业,互联网,-3563,杭州,5,否,"
"1778","1778,女,金融学,博士,出国,教育,4500.0,青岛,4,是,"
"1779","1779,女,,,公务员,互联网,15000.0,青岛,2,是,"
"1780","1780, 女,,博士,创业,互联网,11500.0,广州,3,是,"
"1781","1781,女,土木工程,硕士,考研,医疗,9500.0,成都,1.4668135844055896,否,上海 "
"1782","1782,女,汉语言文学,硕士,就业,建筑,12000.0,深圳,3,是,"
"1783","1783,男,汉语言文学,硕士,公务员,建筑,未知,成都,4,否,"
"1784","1784,女,金融学,博士,自由职业,建筑,4500.0,青岛,3,是,"
"1785","1785,女,法学,博士,创业,互联网,11500.0,南京,2,是,"
"1786","1786,男,汉语言文学,硕士,就业,建筑,11500.0,南京,差,是,"
"1787","1787,其他1,土木工程,硕士,就业,医疗,3095996,北京,2,否,"
"1788","1788,其他1,法学,,考研,建筑,10000.0,广州,1,是,"
"1789","1789,男,环境工程,本科,创业,教育,6500.0,广州,1,是,"
"1790","1790,女,,本科,,教育,8000.0,杭州,1,是,"
"1791","1791,女,电子信息,博士,就业,医疗,20155.413043486078,青岛,5,否,"
"1792","1792,男,,博士,就业,制造业,7500.0,深圳,4,是,"
"1793","1793,男,临床医学,博士,,制造业,5000.0,北京,1.310799148882428,否,"
"1794","1794,女,机械工程,本科,就业,建筑,11500.0,广州,1.5569974856610305,是,"
"1795","1795,男,市场营销,本科,出国,政府机关,11000.0,上海,3,是,"
"1796","1796,女,电子信息,本科,自由职业,建筑,5500.0,杭州,3,否,"
"1797","1797, 女,,硕士,公务员,互联网,9500.0,北京,5,是,"
"1798","1798,男,土木工程,博士,创业,文化传媒,11000.0,杭州,3,否,"
"1799","1799,女,计算机,,自由职业,制造业,12500.0,上海,1,是,"
"1800","1800,男,市场营销,硕士,创业,制造业,12500.0,上海,3,是,"
"1801","1801,其他1,临床医学,博士,出国,医疗,14500.0,上海,2,是,"
"1802","1802,女,,博士,,银行,7000.0,上海,3,否,"
"1803","1803,女,机械工程,硕士,出国,医疗,13500.0,北京,3,是,"
"1804","1804,男,市场营销,博士,创业,互联网,5500.0,武汉,5,否,"
"1805","1805,女,环境工程,本科,自由职业,医疗,7500.0,西安,4,否,"
"1806","1806,男,电子信息,,就业,建筑,5500.0,上海,差,否,"
"1807","1807,男,机械工程,博士,就业,教育,4500.0,上海,1,是,"
"1808","1808,女,计算机,硕士,自由职业,银行,12500.0,北京,2,否,"
"1809","1809,男,临床医学,硕士,公务员,制造业,10500.0,深圳,差,否,"
"1810","1810,女,环境工程,本科,就业,医疗,8520.922303427009,南京,4,是,"
"1811","1811,男,,本科,考研,医疗,13500.0,青岛,2.6039034851383063,是,"
"1812","1812,其他1,计算机,本科,自由职业,银行,14000.0,北京,2,是,"
"1813","1813,女,汉语言文学,本科,就业,建筑,8500.0,北京,5,否,"
"1814","1814,男,临床医学,硕士,考研,文化传媒,15000.0,北京,1,是,"
"1815","1815,男,电子信息,本科,考研,银行,6000.0,西安,4,否,"
"1816","1816,男,汉语言文学,博士,创业,制造业,13000.0,南京,2,是,"
"1817","1817,女,金融学,硕士,创业,银行,7000.0,南京,1,否,"
"1818","1818,男,计算机,本科,,医疗,16864.55425786933,青岛,1,是,"
"1819","1819,女,土木工程,硕士,公务员,政府机关,8500.0,深圳,3.417607371370609,是,"
"1820","1820,女,法学,博士,公务员,政府机关,14000.0,上海,5,是,"
"1821","1821,男,电子信息,本科,出国,银行,-3865,南京,4,否,"
"1822","1822,男,土木工程,博士,公务员,互联网,5500.0,武汉,4,是,上海 "
"1823","1823,男,土木工程,博士,,教育,,武汉,1,否,上海 "
"1824","1824,男,计算机,本科,自由职业,互联网,12500.0,上海,5,是,"
"1825","1825, 女,临床医学,硕士,创业,银行,5000.0,北京,4,是,"
"1826","1826,男,法学,博士,自由职业,银行,7500.0,广州,3,否,"
"1827","1827,其他1,临床医学,本科,就业,建筑,12000.0,广州,3,是,"
"1828","1828,男,电子信息,硕士,考研,银行,4193299,北京,2,否,"
"1829","1829,其他1,,硕士,创业,医疗,3432210,南京,1,否,"
"1830","1830,男,,博士,公务员,医疗,3394203,南京,2,是,"
"1831","1831,男,,博士,就业,互联网,14751.500337993188,青岛,4,是,"
"1832","1832,男,计算机,本科,考研,医疗,11000.0,深圳,3,是,"
"1833","1833,女,环境工程,,就业,政府机关,14500.0,南京,1,否,"
"1834","1834,男,金融学,硕士,自由职业,教育,12000.0,上海,4,否,"
"1835","1835,男,市场营销,博士,,政府机关,-1515,杭州,2.9459052371063104,是,"
"1836","1836,男,市场营销,博士,考研,互联网,,深圳,2,是,上海 "
"1837","1837,女,机械工程,硕士,,制造业,-9057,北京,4,否,"
"1838","1838,男,汉语言文学,硕士,出国,医疗,7000.0,广州,5,否,"
"1839","1839, 女,汉语言文学,博士,自由职业,互联网,12000.0,西安,1.235866115911272,是,"
"1840","1840,男,金融学,博士,出国,教育,7500.0,青岛,差,是,上海 "
"1841","1841,男,电子信息,博士,考研,制造业,13500.0,上海,4,是,"
"1842","1842,女,环境工程,本科,,建筑,,成都,1,是,"
"1843","1843,男,土木工程,博士,公务员,医疗,12000.0,武汉,3,是,"
"1844","1844,女,汉语言文学,,,医疗,-4450,西安,1,是,"
"1845","1845,男,计算机,博士,公务员,医疗,12500.0,杭州,4,否,"
"1846","1846,女,电子信息,硕士,创业,银行,6500.0,上海,1,否,"
"1847","1847,男,法学,博士,公务员,政府机关,-2991,青岛,4,否,"
"1848","1848,男,电子信息,硕士,创业,政府机关,10500.0,广州,5,否,"
"1849","1849,女,土木工程,硕士,,文化传媒,6500.0,南京,3,是,"
"1850","1850,女,电子信息,硕士,出国,政府机关,7500.0,成都,1,是,"
"1851","1851,男,法学,博士,就业,文化传媒,48171.00608038174,武汉,2,否,"
"1852","1852,女,法学,博士,公务员,银行,13500.0,深圳,2,是,"
"1853","1853,男,,硕士,公务员,互联网,6000.0,南京,2,否,"
"1854","1854,女,电子信息,,自由职业,文化传媒,5500.0,杭州,2,否,"
"1855","1855,男,汉语言文学,硕士,公务员,建筑,未知,深圳,5,否,"
"1856","1856,男,市场营销,博士,自由职业,医疗,11000.0,上海,5,是,"
"1857","1857,女,机械工程,硕士,就业,文化传媒,4500.0,广州,3,是,"
"1858","1858,男,环境工程,硕士,,制造业,8000.0,北京,3,是,上海 "
"1859","1859,男,环境工程,硕士,考研,教育,15000.0,上海,4,是,"
"1860","1860,男,,本科,公务员,教育,7000.0,广州,5,是,"
"1861","1861,男,,硕士,,制造业,7500.0,杭州,3,否,"
"1862","1862,男,法学,硕士,创业,互联网,,武汉,3.5013263624845496,否,上海 "
"1863","1863,男,计算机,博士,出国,互联网,5000.0,成都,5,是,"
"1864","1864,女,,,,建筑,10500.0,北京,4,否,"
"1865","1865,女,土木工程,本科,考研,互联网,11000.0,深圳,5,是,"
"1866","1866,男,机械工程,本科,,医疗,5500.0,青岛,3,是,"
"1867","1867,男,金融学,博士,,政府机关,15000.0,杭州,5,是,"
"1868","1868,男,,博士,自由职业,银行,10000.0,南京,1,是,上海 "
"1869","1869,男,,博士,公务员,教育,10500.0,上海,2,否,上海 "
"1870","1870,男,汉语言文学,博士,,教育,5000.0,深圳,4,否,"
"1871","1871,男,土木工程,本科,考研,互联网,9500.0,成都,5,是,"
"1872","1872,男,土木工程,硕士,,政府机关,11500.0,南京,差,否,"
"1873","1873, 女,法学,本科,,制造业,33588.06668030811,上海,1,否,上海 "
"1874","1874,女,法学,本科,,文化传媒,11500.0,西安,1,否,"
"1875","1875,男,土木工程,博士,,银行,,南京,1,是,"
"1876","1876,女,汉语言文学,博士,创业,建筑,14500.0,武汉,4,是,"
"1877","1877, 女,环境工程,本科,考研,银行,15000.0,成都,1,是,"
"1878","1878,男,汉语言文学,硕士,考研,建筑,10500.0,上海,4,是,"
"1879","1879,女,法学,博士,就业,银行,7500.0,青岛,1,是,"
"1880","1880,女,环境工程,本科,就业,文化传媒,12500.0,青岛,3,是,"
"1881","1881,女,土木工程,博士,就业,文化传媒,14000.0,南京,4,是,"
"1882","1882,男,环境工程,博士,公务员,建筑,6500.0,北京,3,否,上海 "
"1883","1883,男,金融学,本科,出国,文化传媒,9000.0,杭州,2,是,上海 "
"1884","1884,男,环境工程,本科,公务员,教育,26782.090329821385,上海,1,否,"
"1885","1885,女,环境工程,博士,自由职业,银行,30345.072025842615,青岛,2,否,"
"1886","1886,女,临床医学,博士,考研,制造业,未知,杭州,4,是,"
"1887","1887,男,土木工程,本科,自由职业,制造业,未知,成都,5,是,"
"1888","1888,女,机械工程,,公务员,建筑,34736.647473829464,广州,3,是,"
"1889","1889,男,法学,硕士,公务员,文化传媒,5000.0,成都,2,否,"
"1890","1890,男,环境工程,硕士,就业,制造业,14500.0,南京,2,否,"
"1891","1891,其他1,汉语言文学,本科,自由职业,文化传媒,10000.0,西安,5,是,"
"1892","1892,女,,,考研,医疗,10500.0,成都,4,是,"
"1893","1893,女,机械工程,本科,考研,互联网,8000.0,上海,3,是,"
"1894","1894,男,电子信息,博士,,互联网,未知,西安,3.2732667905669564,否,上海 "
"1895","1895,女,土木工程,硕士,创业,银行,15000.0,西安,1,否,"
"1896","1896,男,,,自由职业,建筑,6000.0,广州,3,是,上海 "
"1897","1897,男,计算机,博士,考研,互联网,14000.0,杭州,2,是,上海 "
"1898","1898, 女,临床医学,本科,自由职业,建筑,-1604,北京,4,是,"
"1899","1899,男,,本科,创业,银行,5500.0,杭州,4,是,上海 "
"1900","1900,女,法学,硕士,出国,互联网,8000.0,杭州,2,是,"
"1901","1901,男,,博士,出国,银行,10500.0,上海,4,是,上海 "
"1902","1902, 女,市场营销,博士,创业,互联网,11500.0,北京,1,是,"
"1903","1903,男,金融学,硕士,出国,制造业,5000.0,广州,1,是,"
"1904","1904,女,机械工程,,出国,文化传媒,14000.0,青岛,2,否,"
"1905","1905,男,土木工程,本科,,建筑,4000.0,广州,差,是,"
"1906","1906,女,汉语言文学,博士,就业,建筑,15000.0,西安,4.091186779314993,否,"
"1907","1907,女,金融学,,创业,文化传媒,4500.0,杭州,3,否,"
"1908","1908,女,机械工程,硕士,,教育,,南京,1,否,上海 "
"1909","1909,女,土木工程,本科,考研,银行,9000.0,深圳,4.130906958750214,是,"
"1910","1910,女,环境工程,博士,出国,教育,12500.0,成都,1,否,"
"1911","1911,男,汉语言文学,本科,考研,医疗,11000.0,广州,1,否,"
"1912","1912,男,,博士,就业,制造业,,深圳,1,是,"
"1913","1913,男,汉语言文学,,自由职业,银行,9500.0,南京,4,否,"
"1914","1914,女,金融学,,出国,建筑,9500.0,广州,1,否,"
"1915","1915,女,环境工程,硕士,就业,制造业,6000.0,北京,1,是,"
"1916","1916,女,机械工程,本科,创业,政府机关,,北京,2,是,"
"1917","1917,男,金融学,硕士,自由职业,银行,10000.0,上海,2,是,"
"1918","1918,女,市场营销,本科,考研,医疗,7500.0,广州,4,是,"
"1919","1919,男,机械工程,硕士,,文化传媒,6000.0,上海,3,否,"
"1920","1920,男,市场营销,本科,出国,银行,,西安,4,是,上海 "
"1921","1921,男,金融学,本科,公务员,医疗,,广州,4,否,"
"1922","1922,女,,本科,出国,教育,14000.0,上海,1,否,"
"1923","1923,男,汉语言文学,本科,就业,银行,,杭州,4,否,上海 "
"1924","1924,女,,博士,,银行,12500.0,青岛,4,是,"
"1925","1925,男,,博士,考研,建筑,未知,深圳,4,否,"
"1926","1926,男,金融学,硕士,,政府机关,-9766,南京,4,否,"
"1927","1927,男,汉语言文学,硕士,公务员,医疗,13500.0,青岛,4,否,"
"1928","1928,男,,博士,考研,银行,15000.0,广州,3,是,"
"1929","1929,男,汉语言文学,博士,创业,银行,-7986,杭州,4,是,"
"1930","1930,女,汉语言文学,本科,就业,制造业,未知,北京,1,否,"
"1931","1931,女,金融学,本科,考研,政府机关,14500.0,青岛,3,是,上海 "
"1932","1932,男,计算机,硕士,,教育,,南京,1,否,"
"1933","1933,男,临床医学,博士,自由职业,教育,14500.0,青岛,5,是,上海 "
"1934","1934,女,计算机,博士,,教育,12000.0,上海,4,否,"
"1935","1935, 女,法学,硕士,就业,建筑,-6197,武汉,4,是,"
"1936","1936,女,汉语言文学,,出国,医疗,4500.0,北京,2,否,上海 "
"1937","1937,女,金融学,博士,自由职业,建筑,10000.0,青岛,5,否,"
"1938","1938,男,计算机,博士,创业,银行,12500.0,武汉,1,否,"
"1939","1939, 女,计算机,硕士,公务员,银行,14000.0,成都,3,否,"
"1940","1940,男,金融学,硕士,创业,政府机关,5500.0,南京,2,是,"
"1941","1941,男,临床医学,本科,就业,银行,12671.183919096402,青岛,3,是,"
"1942","1942,男,机械工程,博士,出国,互联网,12000.0,杭州,4,是,"
"1943","1943,其他1,法学,博士,,银行,8500.0,杭州,2,是,"
"1944","1944,女,土木工程,硕士,出国,政府机关,4000.0,杭州,5,否,上海 "
"1945","1945,男,环境工程,硕士,就业,政府机关,5000.0,南京,2,否,"
"1946","1946,男,电子信息,博士,出国,制造业,14000.0,深圳,差,否,"
"1947","1947,男,金融学,博士,出国,教育,12000.0,武汉,2,是,"
"1948","1948,女,汉语言文学,博士,出国,互联网,12500.0,深圳,5,否,"
"1949","1949,女,金融学,博士,公务员,互联网,13000.0,武汉,5,否,"
"1950","1950,女,,本科,创业,医疗,12500.0,北京,1,否,"
"1951","1951,男,汉语言文学,本科,创业,教育,9500.0,成都,2,是,"
"1952","1952,女,计算机,,考研,政府机关,9000.0,青岛,4,否,"
"1953","1953, 女,汉语言文学,博士,就业,教育,4000.0,西安,5,是,"
"1954","1954,其他1,法学,本科,,银行,8000.0,杭州,1,否,上海 "
"1955","1955,女,电子信息,本科,考研,政府机关,14000.0,广州,5,否,"
"1956","1956,男,机械工程,硕士,自由职业,建筑,7000.0,青岛,1,是,上海 "
"1957","1957,女,电子信息,本科,创业,政府机关,未知,深圳,1,是,上海 "
"1958","1958,男,临床医学,,自由职业,文化传媒,,成都,5,是,"
"1959","1959,其他1,法学,本科,,文化传媒,7000.0,上海,3,否,"
"1960","1960,男,金融学,博士,考研,建筑,6000.0,杭州,2,是,"
"1961","1961,女,汉语言文学,本科,公务员,制造业,6000.0,深圳,1,是,"
"1962","1962,女,计算机,本科,公务员,政府机关,14000.0,深圳,1,否,"
"1963","1963,女,环境工程,博士,创业,制造业,5000.0,青岛,3,是,"
"1964","1964,女,汉语言文学,本科,,银行,13256.973384500636,武汉,5,否,"
"1965","1965,男,汉语言文学,硕士,创业,医疗,,上海,1,是,"
"1966","1966, 女,土木工程,博士,考研,建筑,,上海,5,是,上海 "
"1967","1967,女,汉语言文学,本科,出国,文化传媒,,西安,1,是,"
"1968","1968,男,市场营销,硕士,公务员,教育,12500.0,南京,5,是,"
"1969","1969,男,环境工程,本科,就业,医疗,8000.0,北京,2.464240352398039,否,"
"1970","1970,男,环境工程,硕士,,医疗,7000.0,青岛,1,是,"
"1971","1971,男,法学,博士,就业,银行,5000.0,杭州,5,否,"
"1972","1972,男,,博士,考研,制造业,13000.0,西安,2,否,"
"1973","1973,男,临床医学,,自由职业,政府机关,4500.0,西安,1.6397918648215462,是,"
"1974","1974,男,汉语言文学,博士,自由职业,建筑,13000.0,杭州,4,否,"
"1975","1975,男,法学,博士,考研,银行,9500.0,青岛,4,否,"
"1976","1976,男,金融学,硕士,考研,银行,15000.0,武汉,5,是,"
"1977","1977,女,市场营销,硕士,出国,互联网,7500.0,青岛,3,否,"
"1978","1978,女,电子信息,博士,,教育,,北京,5,是,"
"1979","1979,其他1,机械工程,博士,创业,教育,6500.0,杭州,2.712666139368108,是,"
"1980","1980,男,电子信息,本科,公务员,文化传媒,6500.0,青岛,差,否,"
"1981","1981,女,金融学,,公务员,医疗,4500.0,上海,2,是,"
"1982","1982,女,,硕士,公务员,文化传媒,12500.0,深圳,4,否,"
"1983","1983,女,机械工程,本科,自由职业,银行,11000.0,北京,4.202148121222146,否,"
"1984","1984,男,,硕士,创业,政府机关,1292639,青岛,3,否,"
"1985","1985,女,环境工程,硕士,考研,建筑,4500.0,南京,3,是,"
"1986","1986,女,金融学,,考研,医疗,6000.0,西安,4,否,"
"1987","1987,女,法学,硕士,就业,建筑,5500.0,广州,1,是,"
"1988","1988,男,土木工程,博士,创业,文化传媒,14500.0,青岛,2,否,"
"1989","1989,其他1,计算机,本科,就业,教育,6000.0,深圳,4,否,"
"1990","1990,男,汉语言文学,本科,公务员,建筑,14000.0,杭州,4,是,"
"1991","1991,女,,博士,公务员,医疗,13500.0,深圳,3,是,"
"1992","1992,女,,,自由职业,互联网,4500.0,西安,3,是,"
"1993","1993,男,临床医学,博士,创业,建筑,10500.0,广州,1,是,"
"1994","1994, 女,金融学,博士,就业,银行,13500.0,武汉,3,是,"
"1995","1995,男,临床医学,博士,公务员,文化传媒,6000.0,杭州,3,否,"
"1996","1996,女,金融学,,,政府机关,-6336,南京,4,是,"
"1997","1997,女,环境工程,硕士,公务员,医疗,13500.0,深圳,3,是,"
"1998","1998, 女,金融学,博士,就业,建筑,,深圳,2,是,"
"1999","1999,女,汉语言文学,博士,公务员,银行,4000.0,广州,2,是,"
"2000","2000,男,金融学,博士,创业,制造业,12000.0,成都,4.342026679103883,是,"
"2001","2001, 女,,博士,公务员,建筑,14000.0,西安,5,是,"
"2002","2002,男,环境工程,本科,公务员,银行,7000.0,杭州,5,否,"
"2003","2003,女,汉语言文学,,创业,文化传媒,12000.0,广州,5,是,"
"2004","2004, 女,机械工程,本科,自由职业,互联网,,深圳,1,否,"
"2005","2005,男,,博士,公务员,医疗,13500.0,广州,1,是,"
"2006","2006,男,环境工程,博士,出国,银行,,南京,2,是,"
"2007","2007,女,机械工程,博士,考研,制造业,6500.0,杭州,3,否,"
"2008","2008, 女,汉语言文学,本科,考研,互联网,14000.0,青岛,1,否,"
"2009","2009,女,法学,,,政府机关,,武汉,4,否,"
"2010","2010,男,电子信息,博士,出国,制造业,9000.0,北京,5,否,"
"2011","2011, 女,机械工程,博士,出国,银行,12500.0,上海,4.583111331573316,是,"
"2012","2012, 女,市场营销,,考研,银行,9000.0,南京,2,是,"
"2013","2013,女,,本科,自由职业,互联网,-3075,西安,差,是,"
"2014","2014,女,,硕士,考研,文化传媒,未知,杭州,3,是,"
"2015","2015,女,临床医学,硕士,就业,政府机关,47180.902884566436,上海,4,是,上海 "
"2016","2016,男,市场营销,硕士,考研,制造业,11500.0,武汉,3,是,"
"2017","2017,女,汉语言文学,,出国,建筑,13500.0,上海,差,是,"
"2018","2018,男,电子信息,本科,自由职业,医疗,10000.0,西安,4,是,上海 "
"2019","2019,男,,硕士,创业,互联网,4494215,广州,2.547858517883084,否,"
"2020","2020,男,汉语言文学,,,政府机关,41226.19075927264,上海,5,是,"
"2021","2021,女,汉语言文学,硕士,考研,教育,7500.0,西安,差,是,上海 "
"2022","2022,男,机械工程,本科,就业,银行,8000.0,广州,3,否,"
