ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历
2225,男,土木工程,博士,创业,教育,12000,成都,5,否
2226,女,临床医学,本科,出国,建筑,10500,北京,4,是
2227,女,土木工程,本科,创业,银行,11000,青岛,2,是
2228,男,土木工程,硕士,就业,银行,5000,上海,3,否
2229,男,临床医学,本科,出国,政府机关,5500,上海,5,是
2230,女,市场营销,硕士,就业,银行,13500,西安,1,否
2231,男,环境工程,硕士,公务员,银行,6000,深圳,5,否
2232,女,汉语言文学,硕士,创业,银行,14000,南京,3,是
2233,男,市场营销,博士,考研,银行,15000,南京,2,否
2234,男,电子信息,博士,公务员,互联网,8000,深圳,4,是
2235,女,机械工程,本科,公务员,银行,11000,杭州,1,否
2236,男,法学,硕士,创业,教育,15000,武汉,1,否
2237,女,临床医学,硕士,自由职业,文化传媒,13000,广州,2,否
2238,男,电子信息,本科,自由职业,教育,9500,深圳,2,否
2239,女,法学,博士,考研,银行,13000,成都,5,是
2240,男,土木工程,本科,创业,互联网,15000,杭州,3,否
2241,女,土木工程,硕士,就业,制造业,7500,武汉,3,否
2242,男,金融学,博士,创业,互联网,5500,上海,4,是
2243,女,机械工程,本科,公务员,政府机关,5500,西安,5,否
2244,男,机械工程,博士,出国,教育,12000,南京,2,否
2245,女,汉语言文学,博士,出国,互联网,6000,深圳,2,否
2246,男,汉语言文学,硕士,出国,文化传媒,5000,南京,1,是
2247,女,土木工程,硕士,出国,医疗,9500,上海,1,否
2248,女,环境工程,博士,公务员,制造业,9500,上海,2,否
2249,女,土木工程,硕士,出国,教育,12500,西安,2,否
2250,男,法学,硕士,考研,建筑,8000,成都,5,否
2251,女,机械工程,硕士,出国,银行,10500,杭州,5,是
2252,男,临床医学,硕士,出国,教育,11500,上海,4,是
2253,女,汉语言文学,硕士,公务员,建筑,9500,深圳,2,是
2254,男,市场营销,博士,公务员,文化传媒,4500,上海,3,是
2255,男,市场营销,硕士,出国,建筑,10000,青岛,5,否
2256,男,计算机,博士,出国,银行,15000,深圳,5,是
2257,女,汉语言文学,本科,创业,文化传媒,5500,南京,5,是
2258,女,机械工程,本科,自由职业,互联网,4000,成都,1,否
2259,男,汉语言文学,本科,创业,制造业,4500,武汉,2,是
2260,女,土木工程,博士,出国,建筑,6000,南京,5,是
2261,男,环境工程,硕士,公务员,建筑,13000,青岛,1,是
2262,女,电子信息,博士,就业,互联网,12500,北京,3,否
2263,男,市场营销,博士,自由职业,医疗,5500,武汉,2,否
2264,女,电子信息,博士,考研,文化传媒,4000,广州,5,否
2265,女,法学,硕士,考研,互联网,10000,成都,2,否
2266,女,临床医学,本科,就业,教育,12000,成都,4,是
2267,女,金融学,硕士,自由职业,建筑,14000,广州,3,是
2268,男,金融学,本科,创业,互联网,9000,深圳,3,是
2269,男,金融学,硕士,创业,教育,9000,广州,5,否
2270,男,法学,硕士,公务员,教育,15000,青岛,4,是
2271,男,环境工程,本科,出国,政府机关,4000,杭州,2,是
2272,男,汉语言文学,硕士,创业,医疗,7500,武汉,1,是
2273,男,土木工程,博士,出国,文化传媒,8000,南京,5,是
2274,女,计算机,本科,出国,建筑,9500,青岛,5,否
2275,男,土木工程,本科,就业,建筑,11000,南京,2,否
2276,男,计算机,硕士,公务员,文化传媒,8500,北京,4,否
2277,男,法学,本科,出国,建筑,9500,成都,2,是
2278,男,土木工程,硕士,自由职业,互联网,11000,杭州,3,是
2279,女,电子信息,博士,考研,银行,12000,武汉,1,是
2280,男,机械工程,硕士,考研,政府机关,10500,武汉,2,是
2281,男,法学,博士,公务员,医疗,7500,南京,5,否
2282,女,计算机,硕士,就业,银行,8500,广州,1,是
2283,女,市场营销,硕士,考研,教育,13500,深圳,2,是
2284,男,汉语言文学,本科,自由职业,互联网,10500,北京,4,否
2285,男,电子信息,本科,就业,教育,12500,深圳,3,否
2286,男,汉语言文学,硕士,就业,文化传媒,6000,广州,2,是
2287,男,机械工程,本科,创业,医疗,8000,武汉,1,是
2288,男,法学,博士,考研,互联网,13000,北京,4,是
2289,女,法学,博士,出国,政府机关,10500,北京,3,否
2290,女,市场营销,硕士,公务员,政府机关,5000,西安,2,是
2291,男,计算机,本科,考研,建筑,15000,北京,1,是
2292,女,机械工程,博士,公务员,建筑,13500,深圳,4,是
2293,男,环境工程,本科,考研,互联网,8500,南京,2,否
2294,男,土木工程,本科,就业,互联网,7500,西安,1,是
2295,男,土木工程,硕士,创业,教育,8500,青岛,4,否
2296,女,计算机,博士,创业,政府机关,7500,上海,2,是
2297,女,电子信息,本科,公务员,医疗,13500,西安,4,是
2298,男,机械工程,硕士,就业,建筑,12500,深圳,1,是
2299,男,金融学,本科,自由职业,建筑,12000,武汉,5,是
2300,男,电子信息,硕士,就业,医疗,6000,深圳,2,否
2301,女,金融学,博士,就业,建筑,4500,广州,2,是
2302,男,汉语言文学,博士,创业,教育,8500,深圳,2,否
2303,女,计算机,硕士,就业,政府机关,10500,成都,1,否
2304,女,金融学,硕士,出国,制造业,15000,广州,1,否
2305,女,机械工程,硕士,自由职业,建筑,13000,广州,4,是
2306,女,市场营销,硕士,就业,文化传媒,4500,上海,2,是
2307,男,法学,博士,自由职业,制造业,11000,上海,2,是
2308,女,金融学,博士,考研,医疗,14000,北京,2,是
2309,女,电子信息,本科,创业,文化传媒,8000,北京,2,否
2310,女,汉语言文学,本科,考研,政府机关,8500,广州,1,否
2311,女,法学,本科,就业,互联网,5500,南京,5,否
2312,男,机械工程,硕士,自由职业,政府机关,9500,青岛,3,是
2313,女,法学,本科,就业,互联网,5500,深圳,1,否
2314,女,机械工程,博士,就业,教育,8500,西安,3,否
2315,男,电子信息,本科,考研,教育,14500,杭州,5,否
2316,男,临床医学,博士,考研,银行,7500,南京,3,否
2317,女,金融学,博士,就业,政府机关,5500,西安,5,否
2318,男,市场营销,本科,考研,银行,12500,青岛,2,否
2319,男,市场营销,博士,就业,政府机关,9500,成都,3,否
2320,女,金融学,本科,创业,医疗,13500,南京,3,是
2321,女,计算机,本科,考研,银行,11000,武汉,2,是
2322,女,汉语言文学,硕士,就业,建筑,10500,武汉,2,是
2323,女,临床医学,本科,就业,建筑,4500,杭州,2,否
2324,男,汉语言文学,硕士,考研,教育,7500,武汉,2,是
2325,女,市场营销,本科,就业,制造业,14500,武汉,4,是
2326,女,金融学,硕士,创业,文化传媒,5000,青岛,4,是
2327,男,汉语言文学,博士,出国,教育,12500,北京,1,是
2328,男,临床医学,本科,出国,政府机关,6000,杭州,5,是
2329,男,市场营销,博士,就业,制造业,12500,南京,1,是
2330,女,机械工程,硕士,考研,制造业,11500,成都,2,否
2331,女,法学,硕士,自由职业,互联网,13000,西安,1,否
2332,女,金融学,硕士,公务员,教育,13000,西安,3,否
2333,女,土木工程,硕士,公务员,医疗,4000,广州,5,否
2334,女,市场营销,本科,出国,文化传媒,9500,武汉,4,是
2335,女,计算机,硕士,出国,银行,8500,广州,4,否
2336,男,机械工程,本科,创业,政府机关,5500,北京,1,否
2337,男,金融学,博士,考研,教育,13000,西安,4,否
2338,女,金融学,硕士,公务员,文化传媒,11000,南京,3,是
2339,女,金融学,博士,出国,银行,11000,成都,4,是
2340,男,金融学,本科,创业,建筑,12000,成都,4,否
2341,女,机械工程,本科,就业,教育,12000,武汉,4,是
2342,女,计算机,博士,自由职业,制造业,15000,广州,5,否
2343,女,法学,硕士,创业,教育,15000,北京,2,是
2344,女,电子信息,本科,出国,建筑,14000,西安,1,否
2345,女,法学,本科,公务员,制造业,10000,杭州,2,否
2346,女,土木工程,本科,考研,银行,5000,青岛,5,否
2347,女,电子信息,博士,就业,文化传媒,8500,武汉,2,否
2348,女,市场营销,本科,创业,政府机关,13500,武汉,5,否
2349,女,电子信息,博士,考研,文化传媒,12000,广州,2,是
2350,女,市场营销,博士,创业,文化传媒,13500,北京,1,是
2351,女,汉语言文学,硕士,就业,教育,12500,武汉,5,是
2352,男,临床医学,本科,出国,建筑,12500,南京,1,否
2353,女,金融学,本科,自由职业,制造业,7500,南京,1,是
2354,男,汉语言文学,硕士,出国,医疗,4500,西安,1,否
2355,男,机械工程,博士,自由职业,医疗,5000,广州,3,否
2356,女,土木工程,博士,创业,教育,4500,广州,5,是
2357,男,法学,本科,自由职业,银行,11000,武汉,4,是
2358,男,计算机,本科,就业,文化传媒,12500,北京,4,是
2359,女,机械工程,硕士,自由职业,银行,13500,成都,4,是
2360,男,金融学,硕士,公务员,教育,8500,广州,5,是
2361,女,汉语言文学,本科,公务员,文化传媒,8500,北京,1,是
2362,男,土木工程,本科,就业,互联网,6500,成都,5,是
2363,男,汉语言文学,博士,就业,政府机关,7500,杭州,1,否
2364,男,法学,博士,公务员,政府机关,12500,南京,1,否
2365,男,临床医学,硕士,就业,银行,6500,广州,4,是
2366,女,环境工程,博士,自由职业,文化传媒,8000,广州,5,是
2367,男,临床医学,硕士,公务员,银行,7500,广州,2,否
2368,女,法学,本科,出国,政府机关,6000,成都,3,否
2369,女,机械工程,本科,出国,互联网,8500,北京,2,是
2370,女,土木工程,本科,创业,制造业,9500,广州,4,否
2371,女,环境工程,本科,公务员,互联网,11500,北京,3,否
2372,女,计算机,本科,自由职业,制造业,9000,深圳,3,是
2373,男,法学,硕士,自由职业,医疗,11500,青岛,2,否
2374,女,机械工程,本科,考研,政府机关,14500,深圳,2,否
2375,女,环境工程,本科,创业,文化传媒,13500,南京,2,否
2376,女,汉语言文学,硕士,自由职业,政府机关,11500,深圳,4,是
2377,男,计算机,本科,出国,建筑,7500,广州,5,是
2378,男,电子信息,本科,出国,建筑,10500,南京,4,否
2379,男,市场营销,博士,考研,互联网,11500,上海,1,否
2380,女,市场营销,硕士,创业,政府机关,12000,广州,2,否
2381,女,金融学,硕士,出国,文化传媒,10000,南京,3,否
2382,女,临床医学,硕士,自由职业,银行,9000,上海,5,是
2383,女,计算机,博士,出国,银行,9500,上海,2,否
2384,女,土木工程,本科,公务员,教育,4000,武汉,1,否
2385,男,法学,本科,创业,银行,15000,南京,1,是
2386,男,临床医学,硕士,公务员,建筑,9000,武汉,4,是
2387,男,汉语言文学,硕士,公务员,医疗,15000,上海,4,是
2388,男,市场营销,博士,公务员,互联网,8500,深圳,2,否
2389,女,机械工程,硕士,考研,教育,8000,广州,2,是
2390,女,金融学,硕士,自由职业,互联网,8000,武汉,2,否
2391,男,土木工程,博士,公务员,文化传媒,12000,青岛,3,否
2392,男,计算机,本科,就业,银行,8500,西安,5,是
2393,男,环境工程,硕士,就业,互联网,14000,杭州,4,否
2394,男,汉语言文学,本科,自由职业,教育,6500,上海,2,否
2395,女,金融学,本科,公务员,文化传媒,9000,北京,4,否
2396,女,法学,硕士,出国,医疗,12500,广州,1,否
2397,男,计算机,硕士,公务员,互联网,12500,西安,5,是
2398,女,机械工程,本科,考研,银行,14500,西安,5,是
2399,女,市场营销,本科,公务员,银行,11000,深圳,5,否
2400,女,计算机,本科,出国,教育,4000,杭州,1,是
2401,男,环境工程,硕士,考研,建筑,6000,西安,4,是
2402,男,土木工程,博士,创业,医疗,6500,西安,3,是
2403,女,金融学,本科,自由职业,文化传媒,4000,北京,2,否
2404,男,土木工程,博士,考研,互联网,10500,广州,1,否
2405,男,环境工程,本科,出国,建筑,11500,西安,2,是
2406,女,计算机,本科,就业,教育,11000,杭州,1,否
2407,男,临床医学,硕士,考研,政府机关,5000,广州,5,否
2408,男,法学,硕士,公务员,互联网,7000,西安,2,否
2409,男,汉语言文学,硕士,创业,制造业,5000,广州,5,是
2410,男,计算机,博士,出国,互联网,5000,西安,3,否
2411,女,计算机,硕士,就业,建筑,11500,北京,3,否
2412,男,汉语言文学,硕士,创业,教育,4500,南京,5,是
2413,女,汉语言文学,博士,自由职业,医疗,11500,青岛,2,否
2414,男,环境工程,硕士,就业,政府机关,15000,深圳,4,否
2415,男,市场营销,硕士,自由职业,文化传媒,15000,成都,5,是
2416,男,机械工程,本科,就业,建筑,5500,杭州,1,是
2417,女,临床医学,博士,创业,互联网,10000,成都,3,是
2418,男,市场营销,博士,就业,建筑,6500,杭州,5,否
2419,男,金融学,博士,出国,制造业,14000,成都,1,是
2420,男,土木工程,本科,考研,教育,4000,北京,4,否
2421,女,机械工程,博士,自由职业,建筑,14500,成都,3,否
2422,女,机械工程,博士,就业,教育,14500,杭州,4,是
2423,男,土木工程,硕士,考研,政府机关,11500,杭州,4,是
2424,女,电子信息,硕士,考研,银行,4000,广州,3,否
2425,男,环境工程,硕士,考研,文化传媒,8000,成都,2,否
2426,男,环境工程,博士,就业,互联网,12500,北京,2,是
2427,男,电子信息,硕士,就业,银行,7000,武汉,2,否
2428,男,计算机,硕士,出国,医疗,14000,青岛,2,否
2429,男,土木工程,博士,考研,教育,13000,北京,5,是
2430,女,土木工程,博士,自由职业,互联网,14500,成都,3,否
2431,女,电子信息,博士,出国,制造业,7000,青岛,2,是
2432,男,环境工程,硕士,出国,政府机关,13000,成都,3,是
2433,男,金融学,本科,就业,文化传媒,7000,广州,5,否
2434,女,机械工程,硕士,自由职业,银行,15000,成都,4,是
2435,男,汉语言文学,本科,考研,银行,13500,杭州,5,否
2436,男,市场营销,本科,自由职业,银行,13000,北京,4,是
2437,男,市场营销,博士,就业,教育,9500,广州,4,是
2438,女,市场营销,硕士,公务员,银行,7500,南京,4,是
2439,女,环境工程,博士,创业,文化传媒,9000,杭州,2,是
2440,男,市场营销,本科,出国,文化传媒,5500,南京,3,是
2441,男,临床医学,本科,公务员,政府机关,10000,上海,2,是
2442,女,金融学,博士,公务员,制造业,10000,成都,3,否
2443,女,环境工程,博士,出国,政府机关,12000,上海,5,是
2444,女,环境工程,硕士,创业,制造业,5500,西安,4,是
2445,女,计算机,博士,公务员,医疗,12000,成都,1,否
2446,男,法学,硕士,自由职业,政府机关,4500,西安,3,否
2447,男,金融学,硕士,公务员,文化传媒,12500,北京,2,否
2448,男,法学,博士,就业,教育,10000,青岛,2,是
2449,男,金融学,博士,出国,互联网,4500,上海,5,否
2450,男,临床医学,本科,就业,互联网,9000,成都,4,否
2451,女,土木工程,博士,创业,文化传媒,7500,北京,2,是
2452,男,汉语言文学,博士,就业,政府机关,11000,武汉,2,是
2453,女,机械工程,硕士,公务员,互联网,5000,青岛,1,否
2454,女,金融学,本科,创业,银行,12000,广州,4,否
2455,男,电子信息,博士,出国,互联网,6500,北京,1,是
2456,男,临床医学,硕士,自由职业,互联网,9000,青岛,2,否
2457,女,法学,硕士,自由职业,教育,14500,上海,2,是
2458,女,土木工程,博士,公务员,医疗,13500,杭州,4,是
2459,男,临床医学,博士,出国,银行,9500,杭州,2,是
2460,女,法学,本科,出国,医疗,6500,武汉,3,是
2461,男,电子信息,本科,公务员,政府机关,5000,南京,2,是
2462,女,环境工程,硕士,出国,政府机关,13500,青岛,3,是
2463,男,土木工程,硕士,公务员,教育,8500,南京,1,是
2464,女,汉语言文学,本科,自由职业,制造业,8500,上海,2,是
2465,男,法学,硕士,出国,医疗,4000,广州,4,是
2466,男,临床医学,硕士,就业,政府机关,9500,杭州,2,否
2467,男,计算机,本科,考研,教育,5500,北京,3,否
2468,女,市场营销,硕士,就业,互联网,9000,武汉,5,是
2469,男,计算机,硕士,创业,医疗,11000,成都,2,是
2470,男,临床医学,硕士,创业,建筑,6500,成都,3,否
2471,女,环境工程,硕士,出国,建筑,12000,西安,5,是
2472,男,金融学,本科,自由职业,建筑,7500,北京,5,是
2473,男,汉语言文学,硕士,自由职业,互联网,12500,北京,4,是
2474,女,机械工程,本科,考研,医疗,6500,深圳,4,是
2475,男,金融学,硕士,自由职业,医疗,4500,广州,4,是
2476,男,金融学,博士,考研,制造业,11000,武汉,4,是
2477,男,汉语言文学,博士,出国,医疗,7000,成都,5,是
2478,男,市场营销,本科,公务员,制造业,11000,成都,4,否
2479,女,机械工程,博士,考研,文化传媒,12500,青岛,4,否
2480,男,临床医学,博士,考研,文化传媒,13500,南京,4,是
2481,男,临床医学,硕士,出国,建筑,11500,南京,2,否
2482,女,市场营销,硕士,自由职业,文化传媒,9000,成都,4,否
2483,女,机械工程,博士,就业,建筑,9000,西安,5,否
2484,男,金融学,本科,创业,政府机关,9000,武汉,1,否
2485,男,市场营销,本科,自由职业,教育,7500,杭州,5,否
2486,男,环境工程,博士,考研,建筑,14500,青岛,1,否
2487,男,计算机,本科,出国,建筑,8500,上海,2,否
2488,女,环境工程,硕士,就业,文化传媒,6000,西安,2,是
2489,男,电子信息,硕士,自由职业,教育,7500,武汉,4,是
2490,女,临床医学,博士,创业,医疗,12500,青岛,1,否
2491,男,机械工程,本科,考研,互联网,10000,上海,4,是
2492,女,计算机,博士,出国,互联网,13000,北京,4,否
2493,男,环境工程,硕士,就业,互联网,6500,青岛,5,是
2494,男,临床医学,本科,就业,文化传媒,12000,武汉,5,是
2495,女,计算机,硕士,就业,建筑,10000,西安,2,否
2496,女,市场营销,博士,创业,互联网,14000,西安,4,是
2497,女,金融学,本科,考研,医疗,9500,南京,5,否
2498,女,计算机,本科,考研,医疗,10500,成都,5,是
2499,女,临床医学,博士,就业,文化传媒,4500,深圳,4,否
2500,女,机械工程,硕士,自由职业,制造业,12500,南京,4,是
2501,女,土木工程,硕士,自由职业,互联网,7000,上海,4,是
2502,女,计算机,博士,考研,制造业,9500,广州,2,是
2503,男,市场营销,硕士,考研,文化传媒,9500,北京,4,是
2504,女,法学,本科,就业,制造业,10000,武汉,1,否
2505,女,环境工程,本科,考研,建筑,7500,南京,3,否
2506,女,市场营销,博士,就业,政府机关,14500,青岛,2,否
2507,男,计算机,硕士,创业,制造业,6000,上海,4,否
2508,男,计算机,硕士,就业,银行,12500,广州,4,否
2509,女,法学,硕士,公务员,制造业,14000,广州,4,是
2510,男,环境工程,本科,公务员,政府机关,11000,南京,5,是
2511,女,土木工程,硕士,考研,银行,9000,杭州,3,否
2512,男,临床医学,本科,就业,教育,10500,广州,3,否
2513,男,机械工程,硕士,创业,政府机关,7500,西安,3,是
2514,女,汉语言文学,本科,创业,医疗,13500,深圳,1,否
2515,女,机械工程,硕士,就业,银行,5500,西安,4,否
2516,男,金融学,硕士,出国,银行,7500,青岛,5,是
2517,女,汉语言文学,硕士,创业,制造业,11500,成都,5,是
2518,男,汉语言文学,硕士,公务员,银行,7000,杭州,2,否
2519,男,土木工程,博士,公务员,建筑,13500,杭州,1,是
2520,女,计算机,本科,考研,银行,5000,成都,3,否
2521,男,电子信息,博士,考研,制造业,6500,南京,1,否
2522,男,临床医学,本科,就业,教育,11500,深圳,4,是
2523,男,环境工程,本科,就业,银行,9500,广州,3,是
2524,女,市场营销,本科,出国,互联网,7000,武汉,2,是
2525,男,汉语言文学,本科,自由职业,教育,9500,广州,3,否
2526,男,机械工程,硕士,就业,银行,13500,杭州,3,否
2527,男,电子信息,博士,考研,制造业,13500,广州,5,否
2528,女,金融学,硕士,创业,政府机关,4000,青岛,4,是
2529,女,法学,本科,公务员,教育,12500,成都,5,否
2530,男,临床医学,博士,创业,银行,15000,青岛,2,否
2531,男,金融学,博士,自由职业,互联网,6500,南京,1,是
2532,男,环境工程,博士,出国,政府机关,10000,杭州,1,是
2533,男,机械工程,博士,自由职业,政府机关,6500,上海,2,否
2534,女,土木工程,博士,就业,银行,11000,武汉,4,是
2535,男,机械工程,博士,自由职业,政府机关,9500,南京,5,是
2536,女,环境工程,硕士,自由职业,政府机关,7500,武汉,4,否
2537,女,临床医学,博士,就业,政府机关,15000,广州,5,是
2538,男,计算机,本科,自由职业,银行,5000,北京,4,是
2539,男,土木工程,硕士,创业,政府机关,6500,南京,3,是
2540,女,机械工程,硕士,自由职业,制造业,4000,成都,1,否
2541,男,市场营销,硕士,就业,银行,12000,北京,1,是
2542,男,临床医学,本科,出国,银行,13000,青岛,5,是
2543,男,汉语言文学,本科,自由职业,教育,10000,成都,2,否
2544,女,临床医学,博士,公务员,政府机关,8000,武汉,1,是
2545,男,临床医学,硕士,自由职业,教育,12500,西安,4,是
2546,男,环境工程,硕士,考研,医疗,13000,成都,2,否
2547,男,汉语言文学,本科,自由职业,文化传媒,13000,西安,3,否
2548,男,土木工程,硕士,考研,医疗,7500,杭州,5,是
2549,女,电子信息,本科,创业,建筑,7000,杭州,4,是
2550,男,法学,本科,就业,建筑,14500,深圳,3,否
2551,女,汉语言文学,本科,创业,制造业,10500,武汉,4,是
2552,男,环境工程,硕士,出国,银行,9500,深圳,4,是
2553,男,汉语言文学,博士,自由职业,互联网,10000,广州,5,是
2554,男,环境工程,硕士,就业,文化传媒,8500,南京,2,是
2555,女,市场营销,博士,创业,政府机关,6500,西安,1,是
2556,女,汉语言文学,本科,出国,政府机关,9500,北京,1,否
2557,女,计算机,硕士,就业,银行,4500,北京,1,否
2558,女,法学,博士,公务员,医疗,13000,杭州,4,否
2559,女,汉语言文学,本科,就业,制造业,14500,上海,2,否
2560,女,机械工程,博士,创业,建筑,10000,武汉,1,是
2561,女,土木工程,本科,自由职业,文化传媒,7500,武汉,3,否
2562,女,临床医学,博士,公务员,教育,4000,成都,5,是
2563,男,环境工程,硕士,创业,医疗,8500,成都,3,是
2564,女,金融学,博士,公务员,建筑,4000,广州,5,是
2565,男,机械工程,博士,自由职业,医疗,11000,南京,5,是
2566,男,临床医学,博士,公务员,互联网,7500,深圳,1,否
2567,女,汉语言文学,硕士,创业,建筑,4000,杭州,1,是
2568,女,计算机,博士,创业,建筑,15000,青岛,1,否
2569,女,土木工程,硕士,出国,文化传媒,13500,杭州,1,是
2570,女,法学,本科,创业,教育,5500,广州,4,否
2571,女,金融学,本科,出国,银行,5500,南京,1,是
2572,男,土木工程,博士,考研,医疗,12500,西安,3,否
2573,男,法学,博士,公务员,互联网,8500,青岛,5,否
2574,男,环境工程,硕士,就业,银行,15000,青岛,1,是
2575,男,市场营销,本科,创业,医疗,8500,深圳,1,否
2576,女,汉语言文学,硕士,就业,制造业,12000,杭州,1,是
2577,女,电子信息,本科,出国,文化传媒,10500,上海,1,是
2578,男,汉语言文学,本科,就业,建筑,7500,北京,1,是
2579,男,电子信息,博士,出国,制造业,15000,西安,2,否
2580,男,电子信息,硕士,公务员,政府机关,10000,青岛,3,是
2581,女,法学,博士,出国,文化传媒,12000,广州,5,是
2582,男,临床医学,博士,出国,教育,13500,武汉,4,否
2583,男,市场营销,博士,就业,银行,11500,西安,2,是
2584,男,环境工程,本科,创业,政府机关,8500,北京,4,否
2585,男,法学,本科,自由职业,制造业,9000,广州,1,是
2586,女,电子信息,硕士,出国,医疗,7500,上海,2,否
2587,男,法学,硕士,考研,银行,6500,青岛,2,是
2588,女,土木工程,本科,就业,互联网,14000,深圳,1,是
2589,女,汉语言文学,硕士,就业,银行,10500,广州,4,否
2590,男,金融学,硕士,考研,银行,11500,西安,5,是
2591,男,金融学,硕士,自由职业,制造业,4500,西安,4,是
2592,男,市场营销,本科,出国,教育,8500,深圳,2,否
2593,男,临床医学,硕士,公务员,建筑,11000,武汉,5,否
2594,男,临床医学,本科,创业,政府机关,13000,深圳,5,否
2595,女,汉语言文学,本科,创业,银行,12000,广州,5,是
2596,女,金融学,本科,考研,政府机关,11500,武汉,4,是
2597,男,土木工程,硕士,自由职业,银行,11000,西安,5,否
2598,女,机械工程,本科,出国,建筑,7000,武汉,4,是
2599,女,土木工程,硕士,创业,医疗,11500,广州,2,是
2600,女,市场营销,本科,考研,制造业,12500,广州,2,是
2601,女,临床医学,博士,出国,互联网,6000,成都,4,是
2602,男,环境工程,本科,自由职业,文化传媒,5500,北京,1,否
2603,女,环境工程,本科,出国,教育,14000,武汉,3,否
2604,女,计算机,博士,自由职业,制造业,10000,广州,1,是
2605,女,汉语言文学,博士,考研,文化传媒,15000,成都,1,否
2606,女,法学,本科,创业,互联网,7500,北京,2,是
2607,女,法学,硕士,出国,制造业,11000,深圳,1,是
2608,男,临床医学,博士,公务员,银行,11000,西安,4,是
2609,男,机械工程,本科,自由职业,医疗,11000,广州,3,否
2610,女,电子信息,本科,公务员,教育,9500,成都,2,否
2611,男,环境工程,硕士,就业,互联网,9000,上海,5,否
2612,女,机械工程,博士,公务员,医疗,6000,杭州,3,是
2613,男,临床医学,博士,创业,政府机关,4000,武汉,1,否
2614,女,临床医学,硕士,自由职业,建筑,13500,上海,1,是
2615,男,环境工程,本科,自由职业,建筑,14000,杭州,1,否
2616,女,环境工程,本科,就业,互联网,8000,上海,2,是
2617,男,计算机,本科,就业,互联网,9500,深圳,1,否
2618,男,电子信息,本科,创业,医疗,4000,北京,1,否
2619,女,临床医学,博士,考研,医疗,15000,南京,4,是
2620,男,金融学,博士,就业,政府机关,9500,南京,5,否
2621,女,环境工程,博士,自由职业,建筑,9000,青岛,1,是
2622,女,机械工程,硕士,出国,建筑,8000,青岛,5,否
2623,男,法学,博士,公务员,政府机关,11500,杭州,4,否
2624,女,电子信息,博士,公务员,教育,14500,成都,5,否
2625,男,计算机,硕士,考研,制造业,8500,深圳,1,是
2626,男,市场营销,硕士,公务员,文化传媒,7500,西安,1,否
2627,女,汉语言文学,硕士,考研,医疗,12000,广州,4,是
2628,女,计算机,本科,就业,制造业,9000,上海,5,是
2629,女,临床医学,本科,出国,教育,12500,青岛,5,否
2630,男,法学,本科,考研,医疗,5500,杭州,1,否
2631,男,环境工程,本科,就业,教育,10000,杭州,3,是
2632,男,环境工程,硕士,考研,政府机关,4500,杭州,5,是
2633,男,市场营销,博士,就业,教育,8500,上海,3,是
2634,男,土木工程,硕士,自由职业,医疗,11000,广州,1,否
2635,男,环境工程,本科,自由职业,教育,15000,北京,2,否
2636,男,临床医学,硕士,出国,文化传媒,10000,上海,4,否
2637,女,土木工程,博士,就业,教育,12000,上海,4,是
2638,男,汉语言文学,本科,就业,医疗,9000,广州,1,否
2639,男,临床医学,硕士,出国,建筑,13000,成都,2,是
2640,男,市场营销,博士,公务员,文化传媒,13000,北京,3,否
2641,女,法学,本科,考研,医疗,12500,深圳,3,是
2642,男,汉语言文学,博士,考研,互联网,9500,北京,2,否
2643,女,市场营销,硕士,就业,建筑,7500,青岛,5,是
2644,女,环境工程,博士,就业,政府机关,12000,杭州,1,是
2645,女,法学,硕士,就业,教育,11000,青岛,5,否
2646,男,市场营销,本科,就业,医疗,6500,上海,5,否
2647,女,市场营销,硕士,创业,医疗,12500,上海,1,是
2648,男,临床医学,本科,就业,建筑,15000,杭州,3,否
2649,男,电子信息,本科,创业,建筑,7000,青岛,4,是
2650,女,汉语言文学,本科,就业,银行,4000,南京,3,否
2651,男,计算机,本科,自由职业,政府机关,6500,北京,1,是
2652,男,汉语言文学,本科,公务员,制造业,6500,上海,2,否
2653,女,临床医学,博士,创业,医疗,10500,杭州,1,是
2654,女,土木工程,本科,出国,医疗,10000,深圳,3,否
2655,女,市场营销,本科,创业,互联网,12000,杭州,5,是
2656,男,机械工程,博士,自由职业,建筑,13000,西安,3,否
2657,女,环境工程,博士,公务员,医疗,11500,杭州,3,是
2658,男,临床医学,博士,考研,文化传媒,5500,上海,2,是
2659,男,市场营销,硕士,公务员,文化传媒,7500,深圳,5,是
2660,女,电子信息,博士,考研,建筑,5500,广州,4,是
2661,男,市场营销,硕士,公务员,建筑,14000,青岛,2,否
2662,男,机械工程,硕士,出国,制造业,12500,深圳,3,否
2663,女,计算机,硕士,创业,医疗,10500,武汉,3,是
2664,男,环境工程,本科,公务员,建筑,13000,南京,2,否
2665,女,法学,硕士,创业,政府机关,11500,上海,4,否
2666,男,电子信息,博士,创业,教育,5000,成都,3,否
2667,男,金融学,博士,创业,文化传媒,13500,成都,3,否
2668,男,法学,博士,自由职业,建筑,11000,杭州,2,否
2669,男,金融学,博士,出国,教育,11000,杭州,4,否
2670,女,市场营销,硕士,公务员,政府机关,8500,成都,2,否
2671,男,环境工程,硕士,创业,教育,8000,深圳,2,否
2672,女,金融学,本科,就业,教育,6500,西安,1,是
